Title,Link
Ofertas | Mercadolibre Chile,Saltar al contenido,#root-app
Ofertas | Mercadolibre Chile,Mercado Libre Chile - Donde comprar y vender de todo,//www.mercadolibre.cl
Ofertas | Mercadolibre Chile,,https://www.mercadolibre.cl/suscripciones/nivel-6#origin=banner-menu&me.position=0&me.bu_line=26&me.flow=-1&me.bu=3&me.audience=all&me.content_id=MLC_BM_LOYALTY50__L1-5&me.component_id=banner_menu_web_ml&me.logic=user_journey
Ofertas | Mercadolibre Chile, Ingresa tu domicilio,https://www.mercadolibre.cl/navigation/addresses-hub?go=https%3A%2F%2Fwww.mercadolibre.cl%2Fofertas%3Fcontainer_id%3DMLC779365-1%26category%3DMLC1051
Ofertas | Mercadolibre Chile, Ingresa tu domicilio,https://www.mercadolibre.cl/navigation/addresses-hub?go=https%3A%2F%2Fwww.mercadolibre.cl%2Fofertas%3Fcontainer_id%3DMLC779365-1%26category%3DMLC1051
Ofertas | Mercadolibre Chile,Categorías,https://www.mercadolibre.cl/categorias#nav-header
Ofertas | Mercadolibre Chile,Ofertas,https://www.mercadolibre.cl/ofertas#nav-header
Ofertas | Mercadolibre Chile,Historial,https://www.mercadolibre.cl/gz/home/navigation#nav-header
Ofertas | Mercadolibre Chile,SupermercadoNuevo,https://www.mercadolibre.cl/ofertas/supermercado#nav-header
Ofertas | Mercadolibre Chile,Moda,https://www.mercadolibre.cl/c/vestuario-y-calzado#nav-header
Ofertas | Mercadolibre Chile,Vender,https://www.mercadolibre.cl/syi/core/list#nav-header
Ofertas | Mercadolibre Chile,Ayuda,https://www.mercadolibre.cl/ayuda#nav-header
Ofertas | Mercadolibre Chile,Crea tu cuenta,https://www.mercadolibre.cl/registration?confirmation_url=https%3A%2F%2Fwww.mercadolibre.cl%2Fofertas%3Fcontainer_id%3DMLC779365-1%26category%3DMLC1051#nav-header
Ofertas | Mercadolibre Chile,Ingresa,https://www.mercadolibre.com/jms/mlc/lgz/login?platform_id=ML&go=https%3A%2F%2Fwww.mercadolibre.cl%2Fofertas%3Fcontainer_id%3DMLC779365-1%26category%3DMLC1051&loginType=explicit#nav-header
Ofertas | Mercadolibre Chile,Mis compras,https://myaccount.mercadolibre.cl/purchases/list#nav-header
Ofertas | Mercadolibre Chile,0 productos en tu carrito,https://www.mercadolibre.cl/gz/cart/v2
Ofertas | Mercadolibre Chile,Ofertas¡Encuentra precios increíbles cada día!,/ofertas
Ofertas | Mercadolibre Chile,Ofertas,https://www.mercadolibre.cl/ofertas?container_id=MLC779365-1#origin=breadcrumb&filter_position=1
Ofertas | Mercadolibre Chile,Celulares y Telefonía,https://www.mercadolibre.cl/ofertas?container_id=MLC779365-1&category=MLC1051#filter_applied=category_id&origin=breadcrumb&filter_position=1
Ofertas | Mercadolibre Chile,Oferta del día (11),https://www.mercadolibre.cl/ofertas?container_id=MLC779365-1&category=MLC1051&promotion_type=deal_of_the_day#filter_applied=promotion_type&origin=qcat&filter_position=3
